"STATION","DATE","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USC00411500","01-07","0.07","0.25","0.64","28.3","203","86","46","-6666","-6666","-6666","6","3","2","1","0","-6666","-6666","-6666","4","3","0","0","1.01","0.0","1.01","0.0"
"USC00411500","01-08","0.07","0.25","0.64","28.2","202","85","46","-6666","-6666","-6666","6","3","2","1","0","-6666","-6666","-6666","4","3","0","0","1.14","0.0","1.14","0.0"
"USC00411500","01-09","0.07","0.25","0.64","28.1","201","85","46","-6666","-6666","-6666","6","3","2","1","0","-6666","-6666","-6666","4","3","0","0","1.28","0.0","1.28","0.0"
"USC00411500","01-10","0.07","0.25","0.64","27.9","201","85","46","-6666","-6666","-6666","6","3","2","1","0","-6666","-6666","-6666","4","3","0","0","1.41","0.0","1.41","0.0"
"USC00411500","01-11","0.07","0.26","0.64","27.8","200","85","46","-6666","-6666","-6666","6","3","2","1","0","-6666","-6666","-6666","5","3","0","0","1.54","0.0","1.54","0.0"
"USC00411500","01-12","0.07","0.26","0.65","27.7","200","85","46","-6666","-6666","-6666","6","3","2","1","0","-6666","-6666","-6666","5","3","0","0","1.66","0.1","1.66","0.1"
"USC00411500","01-13","0.07","0.26","0.65","27.6","200","85","46","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","1.79","0.1","1.79","0.1"
"USC00411500","01-14","0.08","0.26","0.66","27.6","200","86","46","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","1.92","0.1","1.92","0.1"
"USC00411500","01-15","0.08","0.27","0.67","27.6","200","86","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.06","0.1","2.06","0.1"
"USC00411500","01-16","0.08","0.27","0.67","27.5","201","87","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.20","0.1","2.20","0.1"
"USC00411500","01-17","0.08","0.27","0.68","27.5","201","87","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.34","0.1","2.34","0.1"
"USC00411500","01-18","0.08","0.28","0.68","27.4","201","88","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.48","0.1","2.48","0.1"
"USC00411500","01-19","0.08","0.28","0.68","27.3","201","88","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.63","0.1","2.63","0.1"
"USC00411500","01-20","0.08","0.28","0.69","27.2","200","88","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.77","0.1","2.77","0.1"
"USC00411500","01-21","0.08","0.29","0.69","27.1","200","88","47","-6666","-6666","-6666","7","3","2","1","0","-6666","-6666","-6666","5","3","0","0","2.92","0.1","2.92","0.1"
"USC00411500","01-22","0.08","0.29","0.70","27.1","200","89","47","-6666","-6666","-6666","8","3","2","1","0","-6666","-6666","-6666","6","3","0","0","3.06","0.1","3.06","0.1"
"USC00411500","01-23","0.08","0.29","0.70","27.0","200","89","47","-6666","-6666","-6666","8","3","1","1","0","-6666","-6666","-6666","6","3","0","0","3.21","0.1","3.21","0.1"
"USC00411500","01-24","0.08","0.29","0.71","27.0","199","89","47","-6666","-6666","-6666","8","3","1","1","0","-6666","-6666","-6666","6","4","0","0","3.35","0.1","3.35","0.1"
"USC00411500","01-25","0.09","0.29","0.72","27.0","199","90","47","-6666","-6666","-6666","8","3","1","1","0","-6666","-6666","-6666","6","4","-5555","0","3.49","0.1","3.49","0.1"
"USC00411500","01-26","0.09","0.29","0.73","26.9","200","91","48","-6666","-6666","-6666","8","3","1","1","0","-6666","-6666","-6666","7","4","-5555","0","3.63","0.1","3.63","0.1"
"USC00411500","01-27","0.09","0.30","0.74","27.0","200","92","49","-6666","-6666","-6666","9","3","1","1","0","-6666","-6666","-6666","7","4","-5555","0","3.77","0.1","3.77","0.1"
"USC00411500","01-28","0.09","0.30","0.75","27.0","200","92","49","-6666","-6666","-6666","9","3","1","1","0","-6666","-6666","-6666","7","4","-5555","0","3.93","0.1","3.93","0.1"
"USC00411500","01-29","0.09","0.30","0.76","27.0","200","93","50","-6666","-6666","-6666","9","3","1","1","0","-6666","-6666","-6666","8","4","-5555","0","4.08","0.2","4.08","0.2"
"USC00411500","01-30","0.09","0.30","0.77","27.0","201","94","50","-6666","-6666","-6666","9","3","1","1","0","-6666","-6666","-6666","8","4","-5555","0","4.23","0.2","4.23","0.2"
"USC00411500","01-31","0.09","0.31","0.78","27.0","201","94","51","-6666","-6666","-6666","9","3","1","1","0","-6666","-6666","-6666","8","4","-5555","0","4.38","0.2","4.38","0.2"
"USC00410655","01-01","0.04","0.15","0.52","27.4","171","70","32","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.10","0.0","0.10","0.0"
"USC00410655","01-02","0.04","0.15","0.53","27.4","171","70","33","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.20","0.0","0.20","0.0"
"USC00410655","01-03","0.04","0.15","0.53","27.3","171","70","33","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.30","0.0","0.30","0.0"
"USC00410655","01-04","0.04","0.15","0.53","27.3","171","70","33","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.40","0.0","0.40","0.0"
"USC00410655","01-05","0.04","0.15","0.53","27.2","171","70","34","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.52","0.0","0.52","0.0"
"USC00410655","01-06","0.04","0.15","0.53","27.2","171","70","34","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.63","0.0","0.63","0.0"
"USC00410655","01-07","0.04","0.15","0.52","27.2","171","70","34","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.75","0.0","0.75","0.0"
"USC00410655","01-08","0.04","0.15","0.52","27.1","171","70","34","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.85","0.0","0.85","0.0"
"USC00410655","01-09","0.04","0.15","0.52","27.1","171","69","35","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","0.96","0.0","0.96","0.0"
"USC00410655","01-10","0.04","0.15","0.52","27.0","171","69","35","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.07","0.0","1.07","0.0"
"USC00410655","01-11","0.04","0.15","0.52","27.0","171","69","35","-6666","-6666","-6666","2","2","0","0","0",,,,"0","0","0","0","1.17","0.0","1.17","0.0"
"USC00410655","01-12","0.04","0.15","0.52","27.0","172","69","35","-6666","-6666","-6666","2","2","0","0","0",,,,"0","0","0","0","1.27","0.0","1.27","0.0"
"USC00410655","01-13","0.04","0.15","0.52","27.1","172","69","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.38","0.0","1.38","0.0"
"USC00410655","01-14","0.04","0.15","0.52","27.2","173","69","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.48","0.0","1.48","0.0"
"USC00410655","01-15","0.04","0.15","0.52","27.3","173","68","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.59","0.0","1.59","0.0"
"USC00410655","01-16","0.04","0.15","0.51","27.4","174","68","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.70","0.0","1.70","0.0"
"USC00410655","01-17","0.04","0.15","0.51","27.5","174","68","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.80","0.0","1.80","0.0"
"USC00410655","01-18","0.04","0.15","0.50","27.6","175","68","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","1.91","0.0","1.91","0.0"
"USC00410655","01-19","0.04","0.15","0.49","27.7","175","67","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.02","0.0","2.02","0.0"
"USC00410655","01-20","0.04","0.15","0.49","27.8","174","66","36","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.12","0.0","2.12","0.0"
"USC00410655","01-21","0.04","0.15","0.48","27.8","173","65","35","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.23","0.0","2.23","0.0"
"USC00410655","01-22","0.04","0.14","0.47","27.8","173","64","35","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.33","0.0","2.33","0.0"
"USC00410655","01-23","0.04","0.14","0.46","27.9","172","63","34","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.44","0.0","2.44","0.0"
"USC00410655","01-24","0.04","0.14","0.46","28.0","172","63","34","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.55","0.0","2.55","0.0"
"USC00410655","01-25","0.04","0.14","0.45","28.1","172","63","33","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.65","0.0","2.65","0.0"
"USC00410655","01-26","0.04","0.14","0.45","28.2","171","62","33","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.76","0.0","2.76","0.0"
"USC00410655","01-27","0.04","0.14","0.45","28.3","171","62","33","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.86","0.0","2.86","0.0"
"USC00410655","01-28","0.04","0.14","0.44","28.4","172","62","32","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","2.97","0.0","2.97","0.0"
"USC00410655","01-29","0.04","0.14","0.44","28.5","172","62","32","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","3.07","0.0","3.07","0.0"
"USC00410655","01-30","0.04","0.14","0.43","28.6","172","61","31","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","3.17","0.0","3.17","0.0"
"USC00410655","01-31","0.04","0.14","0.43","28.7","172","61","31","-6666","-6666","-6666","1","1","0","0","0",,,,"0","0","0","0","3.27","0.0","3.27","0.0"
"USC00410779","01-01","0.04","0.12","0.30","10.7","66","16","3","-6666","-6666","-6666","5","4","2","0","0","-6666","-6666","-6666","2","2","0","0","0.02","0.0","0.02","0.0"
"USC00410779","01-02","0.04","0.12","0.30","10.8","66","16","3","-6666","-6666","-6666","5","4","2","0","0","-6666","-6666","-6666","2","1","0","0","0.04","0.0","0.04","0.0"
"USC00410779","01-03","0.04","0.12","0.30","10.8","66","16","3","-6666","-6666","-6666","5","4","2","0","0","-6666","-6666","-6666","1","1","0","0","0.06","0.0","0.06","0.0"
"USC00410779","01-04","0.04","0.12","0.30","10.8","66","16","3","-6666","-6666","-6666","5","4","2","0","0","-6666","-6666","-6666","1","1","0","0","0.09","0.0","0.09","0.0"
"USC00410779","01-05","0.04","0.11","0.30","10.8","66","16","3","-6666","-6666","-6666","5","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.12","0.0","0.12","0.0"
"USC00410779","01-06","0.04","0.11","0.30","10.8","66","16","4","-6666","-6666","-6666","6","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.15","0.1","0.15","0.1"
"USC00410779","01-07","0.04","0.11","0.30","10.9","66","16","4","-6666","-6666","-6666","6","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.18","0.1","0.18","0.1"
"USC00410779","01-08","0.04","0.11","0.30","10.9","66","16","4","-6666","-6666","-6666","6","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.21","0.1","0.21","0.1"
"USC00410779","01-09","0.04","0.11","0.30","10.9","66","16","4","-6666","-6666","-6666","6","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.23","0.1","0.23","0.1"
"USC00410779","01-10","0.04","0.12","0.31","10.9","67","17","5","-6666","-6666","-6666","7","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.26","0.1","0.26","0.1"
"USC00410779","01-11","0.04","0.12","0.31","10.9","67","17","5","-6666","-6666","-6666","7","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.29","0.1","0.29","0.1"
"USC00410779","01-12","0.04","0.12","0.32","10.9","68","17","5","-6666","-6666","-6666","7","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.32","0.2","0.32","0.2"
"USC00410779","01-13","0.04","0.13","0.33","10.9","69","17","5","-6666","-6666","-6666","7","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.35","0.2","0.35","0.2"
"USC00410779","01-14","0.05","0.13","0.33","11.0","70","18","6","-6666","-6666","-6666","7","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.38","0.2","0.38","0.2"
"USC00410779","01-15","0.05","0.13","0.34","11.0","70","18","6","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.41","0.2","0.41","0.2"
"USC00410779","01-16","0.05","0.13","0.34","11.0","71","18","6","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.44","0.3","0.44","0.3"
"USC00410779","01-17","0.05","0.13","0.34","11.1","72","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.47","0.3","0.47","0.3"
"USC00410779","01-18","0.05","0.13","0.35","11.2","72","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.50","0.3","0.50","0.3"
"USC00410779","01-19","0.05","0.13","0.35","11.2","73","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.53","0.3","0.53","0.3"
"USC00410779","01-20","0.05","0.13","0.35","11.2","73","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.56","0.4","0.56","0.4"
"USC00410779","01-21","0.05","0.14","0.35","11.2","72","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.59","0.4","0.59","0.4"
"USC00410779","01-22","0.05","0.13","0.35","11.2","72","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.63","0.4","0.63","0.4"
"USC00410779","01-23","0.05","0.14","0.36","11.2","72","19","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.66","0.5","0.66","0.5"
"USC00410779","01-24","0.05","0.14","0.36","11.2","72","20","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.70","0.5","0.70","0.5"
"USC00410779","01-25","0.05","0.14","0.36","11.2","72","20","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.73","0.5","0.73","0.5"
"USC00410779","01-26","0.05","0.14","0.36","11.2","72","20","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.77","0.6","0.77","0.6"
"USC00410779","01-27","0.05","0.14","0.37","11.3","72","20","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.81","0.6","0.81","0.6"
"USC00410779","01-28","0.05","0.14","0.37","11.3","73","21","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.84","0.6","0.84","0.6"
"USC00410779","01-29","0.05","0.14","0.38","11.4","74","21","7","-6666","-6666","-6666","8","6","2","0","0","-6666","-6666","-6666","1","1","0","0","0.88","0.6","0.88","0.6"
"USC00410779","01-30","0.05","0.14","0.38","11.4","74","21","7","-6666","-6666","-6666","8","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.91","0.7","0.91","0.7"
"USC00410779","01-31","0.05","0.14","0.38","11.5","74","22","7","-6666","-6666","-6666","8","5","2","0","0","-6666","-6666","-6666","1","1","0","0","0.95","0.7","0.95","0.7"
"USC00413926","01-01",,,,,,,,,,,,,,,,,,,,,,,"0.01",,"0.01",
"USC00413926","01-02",,,,,,,,,,,,,,,,,,,,,,,"0.03",,"0.03",
"USC00413926","01-03",,,,,,,,,,,,,,,,,,,,,,,"0.04",,"0.04",
"USC00413926","01-04",,,,,,,,,,,,,,,,,,,,,,,"0.05",,"0.05",
"USC00413926","01-05",,,,,,,,,,,,,,,,,,,,,,,"0.07",,"0.07",
"USC00413926","01-06",,,,,,,,,,,,,,,,,,,,,,,"0.08",,"0.08",
"USC00413926","01-07",,,,,,,,,,,,,,,,,,,,,,,"0.11",,"0.11",
